person,extraversion,neuroticism,agreeableness,conscientiousness,openness
C_0,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_1,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,consistent and cautious
C_2,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_3,outgoing and energetic,sensitive and nervous,critical and rational,efficient and organized,consistent and cautious
C_4,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,inventive and curious
C_5,outgoing and energetic,sensitive and nervous,critical and rational,extravagant and careless,inventive and curious
C_6,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,consistent and cautious
C_7,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_8,solitary and reserved,resilient and confident,friendly and compassionate,efficient and organized,consistent and cautious
C_9,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_10,solitary and reserved,resilient and confident,friendly and compassionate,efficient and organized,consistent and cautious
C_11,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_12,solitary and reserved,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_13,solitary and reserved,sensitive and nervous,friendly and compassionate,efficient and organized,inventive and curious
C_14,outgoing and energetic,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_15,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_16,solitary and reserved,sensitive and nervous,friendly and compassionate,extravagant and careless,inventive and curious
C_17,solitary and reserved,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_18,outgoing and energetic,resilient and confident,critical and rational,efficient and organized,inventive and curious
C_19,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_20,solitary and reserved,sensitive and nervous,friendly and compassionate,extravagant and careless,inventive and curious
C_21,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_22,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,consistent and cautious
C_23,outgoing and energetic,sensitive and nervous,friendly and compassionate,extravagant and careless,inventive and curious
C_24,outgoing and energetic,resilient and confident,critical and rational,efficient and organized,consistent and cautious
C_25,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_26,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,consistent and cautious
C_27,solitary and reserved,sensitive and nervous,friendly and compassionate,efficient and organized,inventive and curious
C_28,outgoing and energetic,resilient and confident,critical and rational,extravagant and careless,consistent and cautious
C_29,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_30,outgoing and energetic,sensitive and nervous,friendly and compassionate,extravagant and careless,inventive and curious
C_31,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,consistent and cautious
C_32,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_33,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_34,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_35,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,inventive and curious
C_36,outgoing and energetic,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_37,outgoing and energetic,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_38,outgoing and energetic,sensitive and nervous,friendly and compassionate,efficient and organized,consistent and cautious
C_39,solitary and reserved,sensitive and nervous,critical and rational,efficient and organized,inventive and curious
C_40,solitary and reserved,resilient and confident,friendly and compassionate,extravagant and careless,inventive and curious
C_41,outgoing and energetic,resilient and confident,friendly and compassionate,efficient and organized,consistent and cautious
C_42,solitary and reserved,sensitive and nervous,critical and rational,extravagant and careless,inventive and curious
